latitude,longitude,freeboard,segment_length,Thickness (m)
-71.64367216,-40.06844862,0.26,14.171217,1.01
-71.64372978,-40.06847256,0.26,13.467004,1.01
-71.64378848,-40.06849701,0.26,14.885277,1.01
-71.64386416,-40.06852858,0.26,15.60109,1.01
-71.64392756,-40.06855509,0.27,14.90192,1.04
-71.64398782,-40.06858034,0.27,14.186969,1.04
-71.64404358,-40.06860365,0.29,12.757105,1.12
-71.64410463,-40.06862922,0.35,14.183717,1.33
-71.64416935,-40.0686566,0.37,14.210384,1.41
-71.64423089,-40.06868282,0.36,13.499462,1.37
-71.64428407,-40.0687055,0.39,12.79048,1.48
-71.64433697,-40.06872808,0.42,12.78494,1.59
-71.64440323,-40.06875636,0.38,14.914821,1.44
-71.64446914,-40.0687845,0.34,14.203841,1.3
-71.64452275,-40.0688074,0.35,14.19327,1.33
-71.64459584,-40.06883861,0.33,14.193905,1.26
-71.64464788,-40.06886081,0.29,12.761523,1.12
-71.64470446,-40.0688849,0.23,13.467661,0.9
-71.64476953,-40.06891258,0.2,14.874447,0.79
-71.6448336,-40.06893982,0.21,14.157491,0.83
-71.64489091,-40.06896414,0.27,13.4524,1.04
-71.64494384,-40.06898657,0.36,12.024567,1.37
-71.64499233,-40.06900706,0.39,12.722176,1.48
-71.64505359,-40.06903288,0.38,13.422509,1.44
-71.6451123,-40.06905757,0.39,13.415397,1.48
-71.64516279,-40.06907877,0.43,12.707664,1.62
-71.64522434,-40.06910452,0.43,14.105913,1.62
-71.64529071,-40.06913227,0.33,14.136771,1.26
-71.64534959,-40.06915686,0.3,14.801291,1.15
-71.64541683,-40.06918461,0.3,14.734481,1.15
-71.64547711,-40.06920922,0.29,14.028078,1.12
-71.64553748,-40.06923378,0.26,14.022044,1.01
-71.64560059,-40.06925938,0.21,14.018186,0.83
-71.64565917,-40.0692831,0.2,13.318069,0.79
-71.64571813,-40.06930693,0.21,14.718892,0.83
-71.64578539,-40.06933408,0.22,14.723287,0.86
-71.64584684,-40.06935884,0.21,14.721356,0.83
-71.64591135,-40.06938481,0.22,15.435482,0.86
-71.64597742,-40.06941139,0.23,14.735422,0.9
-71.646043,-40.06943777,0.19,14.740565,0.75
-71.64610394,-40.06946227,0.21,14.746945,0.83
-71.64616039,-40.06948498,0.22,13.352417,0.86
-71.64621515,-40.06950702,0.2,13.362621,0.79
-71.64626815,-40.06952836,0.2,12.667646,0.79
-71.6463252,-40.06955135,0.2,12.676583,0.79
-71.64638677,-40.06957621,0.2,14.802637,0.79
-71.64646389,-40.06960741,0.2,16.938843,0.79
-71.64653227,-40.06963506,0.2,14.795057,0.79
-71.64658678,-40.06965707,0.21,14.123245,0.83
-71.64665588,-40.06968517,0.21,14.9171915,0.83
-71.646717,-40.06971036,0.19,14.929773,0.75
-71.64678524,-40.06973855,0.16,15.655267,0.65
-71.64685078,-40.06976567,0.18,14.245389,0.72
-71.6469109,-40.06979058,0.13,14.962448,0.54
-71.64697984,-40.06981919,0.15,15.681746,0.61
-71.64704673,-40.06984697,0.17,14.984155,0.68
-71.64710467,-40.06987106,0.17,13.560844,0.68
-71.64715919,-40.06989373,0.18,12.845123,0.72
-71.64720908,-40.06991451,0.18,12.130717,0.72
-71.64726931,-40.06993959,0.16,14.274087,0.65
-71.64733767,-40.06996806,0.21,14.271431,0.83
-71.64738959,-40.06998969,0.19,12.130731,0.75
-71.6474342,-40.07000826,0.21,11.413541,0.83
-71.6474911,-40.07003195,0.25,13.548713,0.97
-71.64755932,-40.07006035,0.26,14.257668,1.01
-71.6476176,-40.07008461,0.25,12.826517,0.97
-71.64766845,-40.07010576,0.26,12.823252,1.01
-71.64772715,-40.07013017,0.3,12.817539,1.15
-71.64778422,-40.07015389,0.34,12.098378,1.3
-71.64782965,-40.07017288,0.37,12.82239,1.41
-71.64789456,-40.07019989,0.36,14.2150955,1.37
-71.64796286,-40.07022796,0.31,14.873077,1.19
-71.64802579,-40.07025372,0.28,14.155426,1.08
-71.64808285,-40.07027707,0.29,12.732749,1.12
-71.64813293,-40.07029757,0.32,12.731082,1.23
-71.64820509,-40.0703271,0.31,14.836803,1.19
-71.64826326,-40.0703509,0.25,14.12393,0.97
-71.64832276,-40.07037526,0.22,13.412657,0.86
-71.64837673,-40.07039739,0.22,13.406208,0.86
-71.64843904,-40.07042295,0.2,14.108481,0.79
-71.64850127,-40.07044853,0.24,14.107985,0.94
-71.64856134,-40.07047326,0.28,13.394052,1.08
-71.64861758,-40.07049643,0.29,14.098958,1.12
-71.64868352,-40.07052365,0.32,13.393559,1.23
-71.64873664,-40.07054563,0.32,13.387758,1.23
-71.64879346,-40.07056916,0.27,12.685579,1.04
-71.64884035,-40.07058859,0.23,11.982154,0.9
-71.64890158,-40.07061405,0.2,14.797521,0.79
-71.64897511,-40.07064469,0.18,15.505593,0.72
-71.64903132,-40.07066817,0.18,13.397069,0.72
-71.64908728,-40.07069142,0.23,14.100454,0.9
-71.64915507,-40.0707198,0.32,14.811735,1.23
-71.6492179,-40.07074646,0.32,14.816643,1.23
-71.64927818,-40.07077217,0.27,14.823532,1.04
-71.64934097,-40.07079898,0.24,13.419331,0.94
-71.64938552,-40.07081803,0.23,11.30852,0.9
-71.64943321,-40.07083843,0.27,12.012769,1.04
-71.64949786,-40.07086609,0.3,14.136635,1.15
-71.6495589,-40.07089218,0.33,13.437936,1.26
-71.64961147,-40.07091465,0.36,13.440743,1.37
-71.64966752,-40.07093859,0.35,12.740502,1.33
-71.64972127,-40.07096151,0.33,12.036744,1.26
-71.64977028,-40.07098238,0.32,12.750234,1.23
-71.64983544,-40.07101007,0.31,13.460979,1.19
-71.6498893,-40.07103292,0.28,12.758356,1.08
-71.64993951,-40.07105417,0.23,12.768823,0.9
-71.65000289,-40.07108094,0.23,13.478151,0.9
-71.65005709,-40.07110378,0.25,13.483038,0.97
-71.65012001,-40.0711302,0.25,14.197231,0.97
-71.65018387,-40.07115692,0.21,13.491087,0.83
-71.65023351,-40.07117763,0.18,12.789718,0.72
-71.65029258,-40.07120221,0.17,13.499992,0.68
-71.65035032,-40.07122635,0.19,13.489366,0.75
-71.65041221,-40.07125196,0.24,14.929495,0.94
-71.65047819,-40.07127883,0.28,14.96588,1.08
-71.65053652,-40.0713024,0.3,14.249521,1.15
-71.65059636,-40.07132652,0.29,12.825279,1.12
-71.65065141,-40.07134865,0.27,12.829125,1.04
-71.65070536,-40.07137029,0.25,12.816856,0.97
-71.65076803,-40.07139539,0.26,14.238763,1.01
-71.65083522,-40.07142225,0.28,13.516154,1.08
-71.65088339,-40.07144149,0.24,12.084714,0.94
-71.6509313,-40.07146061,0.22,12.790234,0.86
-71.65099732,-40.07148696,0.23,14.206627,0.9
-71.65105752,-40.07151098,0.22,13.475936,0.86
-71.65111389,-40.07153348,0.22,13.46574,0.86
-71.65117153,-40.07155651,0.24,13.4546585,0.94
-71.65122615,-40.07157834,0.24,13.440741,0.94
-71.65129205,-40.07160474,0.26,14.840275,1.01
-71.65135153,-40.07162861,0.3,13.414608,1.15
-71.65140221,-40.07164898,0.33,12.693874,1.26
-71.65145716,-40.07167111,0.41,12.684696,1.55
-71.65151258,-40.07169348,0.49,13.376131,1.84
-71.6515788,-40.07172021,0.47,14.810174,1.77
-71.65164162,-40.07174561,0.41,14.058938,1.55
-71.65169949,-40.07176924,0.35,13.269381,1.33
-71.65174922,-40.0717898,0.35,12.559599,1.33
-71.65180829,-40.07181429,0.38,12.558589,1.44
-71.65186136,-40.07183634,0.33,13.240947,1.26
-71.65192464,-40.0718627,0.22,13.9295845,0.86
-71.65198242,-40.07188683,0.19,13.232355,0.75
-71.65203802,-40.07191011,0.21,13.226755,0.83
-71.65209923,-40.07193581,0.24,13.9199705,0.94
-71.6521584,-40.0719607,0.25,13.226904,0.97
-71.65221027,-40.07198255,0.23,13.925814,0.9
-71.65228124,-40.0720125,0.22,13.931197,0.86
-71.65232887,-40.07203263,0.21,11.848311,0.83
-71.65238259,-40.07205536,0.26,12.552342,1.01
-71.65243512,-40.07207759,0.34,11.862783,1.3
-71.65248477,-40.07209863,0.34,12.569271,1.3
-71.65254746,-40.07212521,0.34,13.279479,1.3
-71.6525942,-40.07214503,0.36,11.891637,1.37
-71.65265403,-40.0721704,0.36,13.303138,1.37
-71.65270704,-40.07219289,0.35,13.32377,1.33
